id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region
6523,00A,heliport,Total RF Heliport,40.070985,-74.933689,11,NA,US,US-PA
323361,00AA,small_airport,Aero B Ranch Airport,38.704022,-101.473911,3435,NA,US,US-KS
6524,00AK,small_airport,Lowell Field,59.947733,-151.692524,450,NA,US,US-AK
6525,00AL,small_airport,Epps Airpark,34.8647995,-86.77030182,820,NA,US,US-AL
506791,00AN,small_airport,Katmai Lodge Airport,59.093287,-156.456699,80,NA,US,US-AK
6526,00AR,closed,Newport Hospital & Clinic Heliport,35.6087,-91.254898,237,NA,US,US-AR
322127,00AS,small_airport,Fulton Airport,34.9428028,-97.8180194,1100,NA,US,US-OK
6527,00AZ,small_airport,Cordes Airport,34.30559921,-112.1650009,3810,NA,US,US-AZ
6528,00CA,small_airport,Goldstone (GTS) Airport,35.35474,-116.885329,3038,NA,US,US-CA
324424,00CL,small_airport,Williams Ag Airport,39.427188,-121.763427,87,NA,US,US-CA
322658,00CN,heliport,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,3350,NA,US,US-CA
6529,00CO,closed,Cass Field,40.622202,-104.344002,4830,NA,US,US-CO
6531,00FA,small_airport,Grass Patch Airport,28.64550018,-82.21900177,53,NA,US,US-FL
6532,00FD,closed,Ringhaver Heliport,28.8466,-82.345398,25,NA,US,US-FL
6533,00FL,small_airport,River Oak Airport,27.23089981,-80.96920013,35,NA,US,US-FL
6534,00GA,small_airport,Lt World Airport,33.76750183,-84.06829834,700,NA,US,US-GA
6535,00GE,heliport,Caffrey Heliport,33.887982,-84.736983,957,NA,US,US-GA
6536,00HI,heliport,Kaupulehu Heliport,19.832881,-155.978347,43,OC,US,US-HI
6537,00ID,small_airport,Delta Shores Airport,48.14530182,-116.2139969,2064,NA,US,US-ID
322581,00IG,small_airport,Goltl Airport,39.724028,-101.395994,3359,NA,US,US-KS
6538,00II,closed,Bailey Generation Station Heliport,41.644501,-87.122803,600,NA,US,US-IN
6539,00IL,small_airport,Hammer Airport,41.978401,-89.560402,840,NA,US,US-IL
6540,00IN,heliport,St Mary Medical Center Heliport,41.51139832,-87.26059723,634,NA,US,US-IN
6541,00IS,small_airport,Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192,820,NA,US,US-IL
6542,00KS,small_airport,Hayden Farm Airport,38.72779846,-94.93049622,1100,NA,US,US-KS
6543,00KY,small_airport,Robbins Roost Airport,37.40940094,-84.61969757,1265,NA,US,US-KY
45437,00LA,heliport,Shell Chemical East Site Heliport,30.191944,-90.980833,15,NA,US,US-LA
6544,00LL,heliport,Ac & R Components Heliport,39.66529846,-89.70559692,600,NA,US,US-IL
6545,00LS,small_airport,Lejeune Airport,30.136299,-92.429398,12,NA,US,US-LA
6546,00MD,small_airport,Slater Field,38.75709915,-75.75379944,45,NA,US,US-MD
6547,00MI,heliport,Dow Chemical Heliport,43.94940186,-86.41670227,588,NA,US,US-MI
6548,00MN,small_airport,Battle Lake Municipal Airport,46.29999924,-95.70030212,1365,NA,US,US-MN
6549,00MO,small_airport,Cooper Flying Service Airport,37.20280075,-94.41239929,970,NA,US,US-MO
324642,00MT,heliport,Livingston Healthcare Heliport,45.675,-110.52515,4465,NA,US,US-MT
6551,00N,small_airport,Bucks Airport,39.472998,-75.184346,105,NA,US,US-NJ
6552,00NC,small_airport,North Raleigh Airport,36.08520126,-78.37139893,348,NA,US,US-NC
6553,00NJ,heliport,Colgate-Piscataway Heliport,40.52090073,-74.47460175,78,NA,US,US-NJ
321919,00NK,seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96,NA,US,US-NY
506039,00NR,heliport,Rodanthe Dare County Heliport,35.594729,-75.470002,8,NA,US,US-NC
6554,00NY,small_airport,Weiss Airfield,42.89576,-77.495263,1000,NA,US,US-NY
6555,00OH,closed,Exit 3 Airport,41.590476,-84.141583,785,NA,US,US-OH
6556,00OI,heliport,Miami Valley Hospital Heliport,39.745091,-84.187278,905,NA,US,US-OH
328503,00OK,small_airport,Gull Bay Landing Airport,36.198598,-96.217693,960,NA,US,US-OK
6557,00OR,heliport,Steel Systems Heliport,44.93289948,-123.1299973,195,NA,US,US-OR
6558,00PA,heliport,R J D Heliport,39.94889832,-75.74690247,402,NA,US,US-PA
45773,00PN,small_airport,Ferrell Field,41.2995,-80.211111,1301,NA,US,US-PA
6559,00PS,closed,Thomas Field,40.3778,-77.365303,815,NA,US,US-PA
6560,00S,small_airport,McKenzie Bridge State Airport,44.181466,-122.086,1620,NA,US,US-OR
6561,00SC,small_airport,Flying O Airport,34.00939941,-80.26719666,150,NA,US,US-SC
330391,00SD,small_airport,Homan Field,44.809158,-96.498897,1590,NA,US,US-SD
